"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2016","7,411.80","7,475.10","7,476.83","7,356.81","358.49M","-2.83%"
"06/10/2016","7,628.04","7,721.97","7,751.82","7,612.30","279.96M","-1.68%"
"06/08/2016","7,758.63","7,654.91","7,771.70","7,634.40","375.93M","0.81%"
"06/07/2016","7,696.45","7,615.46","7,717.76","7,568.53","383.72M","2.34%"
"06/06/2016","7,520.31","7,522.83","7,526.29","7,386.01","194.92M","0.61%"
"06/03/2016","7,474.46","7,495.92","7,514.03","7,425.18","296.89M","0.26%"
"06/02/2016","7,455.13","7,375.26","7,488.91","7,341.68","214.76M","0.50%"
"06/01/2016","7,418.03","7,302.16","7,445.55","7,302.16","258.96M","1.23%"
"05/31/2016","7,327.60","7,270.64","7,401.65","7,270.64","603.77M","0.16%"
"05/30/2016","7,315.61","7,302.14","7,377.34","7,276.41","280.08M","-0.44%"
"05/27/2016","7,348.12","7,361.16","7,385.30","7,246.69","270.23M","0.01%"
"05/26/2016","7,347.31","7,286.55","7,386.47","7,286.46","268.81M","1.20%"
"05/25/2016","7,259.98","7,147.46","7,308.53","7,145.18","388.62M","3.68%"
"05/24/2016","7,002.59","7,079.45","7,079.45","6,919.85","258.23M","-1.16%"
"05/23/2016","7,085.08","7,067.58","7,179.03","7,056.39","207.82M","-0.51%"
"05/20/2016","7,121.50","7,088.19","7,204.62","7,045.76","236.88M","0.68%"
"05/19/2016","7,073.44","7,153.14","7,153.14","7,038.41","233.75M","-1.28%"
"05/18/2016","7,164.99","7,206.26","7,262.74","7,122.90","292.79M","-1.36%"
"05/17/2016","7,263.93","7,228.12","7,286.74","7,181.04","325.14M","2.37%"
"05/16/2016","7,095.75","7,015.94","7,138.39","6,977.14","295.07M","0.57%"
"05/13/2016","7,055.61","7,093.79","7,156.37","6,984.34","340.08M","-1.64%"
"05/12/2016","7,173.55","7,208.98","7,218.20","7,112.77","256.56M","0.56%"
"05/11/2016","7,133.62","7,237.52","7,253.75","7,123.42","298.31M","-0.56%"
"05/10/2016","7,174.04","7,057.21","7,203.65","7,037.73","383.86M","-0.10%"
"05/09/2016","7,181.55","7,275.66","7,297.28","7,140.72","344.91M","-0.08%"
"05/06/2016","7,187.02","7,302.08","7,302.08","7,143.82","461.85M","-2.06%"
"05/05/2016","7,338.37","7,314.22","7,375.66","7,286.55","398.97M","-0.64%"
"05/04/2016","7,385.45","7,423.76","7,454.66","7,313.31","491.28M","-2.24%"
"05/03/2016","7,554.64","7,696.98","7,696.98","7,543.59","406.60M","-2.14%"
"04/29/2016","7,720.07","7,752.65","7,778.45","7,622.90","495.45M","-2.05%"
"04/28/2016","7,881.30","7,882.41","7,989.93","7,822.54","542.22M","0.79%"
"04/27/2016","7,819.89","7,772.51","7,847.10","7,741.62","379.68M","0.88%"
"04/26/2016","7,751.66","7,752.96","7,770.38","7,595.98","343.62M","0.32%"
"04/25/2016","7,726.87","7,767.93","7,767.93","7,669.61","311.03M","-0.47%"
"04/22/2016","7,763.16","7,711.33","7,805.18","7,683.66","388.74M","-0.85%"
"04/21/2016","7,829.56","7,641.57","7,889.00","7,635.26","598.19M","4.07%"
"04/20/2016","7,523.28","7,689.31","7,689.31","7,394.82","409.76M","-1.55%"
"04/19/2016","7,642.06","7,630.04","7,653.18","7,519.21","397.64M","2.51%"
"04/18/2016","7,454.75","7,288.15","7,459.17","7,270.49","516.01M","-1.34%"
"04/15/2016","7,556.19","7,614.24","7,620.18","7,485.88","347.42M","-0.65%"
"04/14/2016","7,605.54","7,678.49","7,678.49","7,495.97","442.72M","-0.08%"
"04/13/2016","7,611.39","7,339.68","7,618.80","7,339.68","841.23M","5.63%"
"04/12/2016","7,205.89","7,138.20","7,213.34","7,115.24","313.72M","1.17%"
"04/11/2016","7,122.28","7,036.16","7,184.53","7,016.93","410.87M","1.66%"
"04/08/2016","7,005.93","6,855.44","7,015.93","6,830.16","305.91M","0.95%"
"04/07/2016","6,939.95","6,996.20","7,025.86","6,896.81","308.06M","0.98%"
"04/06/2016","6,872.39","6,813.53","6,932.11","6,813.53","346.05M","0.34%"
"04/05/2016","6,849.17","6,925.97","6,926.02","6,779.00","475.79M","-2.64%"
"04/01/2016","7,035.02","7,157.03","7,160.76","7,000.75","325.94M","-1.90%"
"03/31/2016","7,170.99","7,115.03","7,181.65","7,086.66","341.12M","1.24%"
"03/30/2016","7,083.45","6,986.19","7,104.32","6,986.19","449.65M","2.27%"
"03/29/2016","6,926.51","7,038.34","7,038.34","6,857.01","344.99M","-0.99%"
"03/24/2016","6,995.51","7,053.15","7,063.19","6,905.11","401.73M","-2.62%"
"03/23/2016","7,183.92","7,099.32","7,191.38","7,083.05","287.33M","0.90%"
"03/22/2016","7,119.62","7,109.46","7,169.65","7,082.35","278.88M","0.23%"
"03/21/2016","7,103.54","7,142.01","7,191.78","7,065.49","345.47M","-0.88%"
"03/18/2016","7,166.26","7,224.55","7,251.10","7,126.19","517.10M","-0.04%"
"03/17/2016","7,169.18","7,198.05","7,211.05","7,123.95","368.56M","3.65%"
"03/16/2016","6,916.43","7,079.58","7,095.44","6,891.28","317.55M","-1.35%"
"03/15/2016","7,010.86","7,060.54","7,093.58","6,983.89","327.84M","-1.98%"
"03/14/2016","7,152.34","7,301.36","7,301.36","7,119.31","329.61M","-0.56%"
"03/11/2016","7,192.96","7,020.69","7,195.60","6,989.95","348.75M","1.52%"
"03/10/2016","7,085.28","7,104.98","7,202.03","7,051.04","366.11M","0.77%"
"03/09/2016","7,030.99","7,035.54","7,042.19","6,934.87","410.28M","-2.09%"
"03/08/2016","7,180.88","7,276.61","7,276.61","7,090.22","466.10M","-0.45%"
"03/07/2016","7,213.18","7,230.80","7,292.20","7,194.12","615.99M","1.48%"
"03/04/2016","7,107.85","7,020.68","7,128.22","6,970.43","480.13M","2.17%"
"03/03/2016","6,956.63","6,994.52","7,009.04","6,842.02","435.01M","1.26%"
"03/02/2016","6,869.93","6,824.35","6,957.11","6,811.63","616.94M","3.66%"
"03/01/2016","6,627.34","6,492.48","6,639.84","6,451.03","338.20M","3.90%"
"02/29/2016","6,378.48","6,511.68","6,511.68","6,356.42","288.12M","-2.46%"
"02/26/2016","6,539.48","6,401.50","6,594.07","6,401.50","361.07M","4.46%"
"02/25/2016","6,260.06","6,468.58","6,482.43","6,251.02","323.08M","-2.48%"
"02/24/2016","6,419.50","6,487.34","6,534.26","6,390.26","319.55M","-2.45%"
"02/23/2016","6,580.61","6,603.69","6,631.22","6,533.36","307.32M","1.10%"
"02/22/2016","6,509.14","6,515.77","6,575.62","6,471.11","258.36M","0.32%"
"02/19/2016","6,488.51","6,465.37","6,541.20","6,448.25","329.63M","-1.05%"
"02/18/2016","6,557.17","6,605.66","6,609.90","6,515.84","528.49M","4.33%"
"02/17/2016","6,285.08","6,404.53","6,440.18","6,260.55","427.76M","-3.22%"
"02/16/2016","6,494.07","6,390.62","6,577.59","6,360.54","568.60M","3.28%"
"02/15/2016","6,287.78","6,172.78","6,314.63","6,137.42","360.77M","4.68%"
"02/12/2016","6,006.51","5,977.78","6,159.20","5,976.57","303.94M","0.24%"
"02/11/2016","5,992.27","5,908.60","6,002.02","5,855.38","345.83M","-5.30%"
"02/05/2016","6,327.53","6,275.90","6,354.53","6,251.72","294.66M","1.55%"
"02/04/2016","6,231.23","6,192.05","6,307.48","6,192.05","343.07M","4.61%"
"02/03/2016","5,956.83","5,792.13","5,969.09","5,792.13","416.10M","-3.48%"
"02/02/2016","6,171.66","6,089.15","6,207.33","6,063.69","300.96M","-0.63%"
"02/01/2016","6,210.83","6,343.05","6,344.92","6,122.93","396.35M","-2.06%"
"01/29/2016","6,341.28","6,068.24","6,364.42","6,068.24","661.39M","5.76%"
"01/28/2016","5,996.15","5,975.38","6,046.03","5,886.99","375.61M","1.59%"
"01/27/2016","5,902.12","5,969.51","5,983.71","5,836.49","381.88M","2.43%"
"01/26/2016","5,762.20","5,913.93","5,915.03","5,731.94","463.54M","-5.73%"
"01/25/2016","6,112.72","6,068.68","6,191.16","6,030.38","563.23M","2.99%"
"01/22/2016","5,935.33","5,789.80","5,968.69","5,709.35","637.20M","7.20%"
"01/21/2016","5,536.82","5,698.38","5,784.79","5,532.04","592.81M","-1.11%"
"01/20/2016","5,599.10","5,825.42","5,825.42","5,555.10","579.53M","-6.07%"
"01/19/2016","5,960.77","5,748.24","5,975.84","5,728.35","388.33M","3.79%"
"01/18/2016","5,743.33","5,816.99","5,886.90","5,733.36","440.43M","-2.47%"
"01/15/2016","5,889.01","6,107.08","6,122.21","5,869.86","426.39M","-3.32%"
"01/14/2016","6,091.46","5,912.63","6,115.61","5,838.49","524.02M","0.26%"
"01/13/2016","6,075.54","6,105.04","6,210.56","6,026.19","405.82M","1.55%"
"01/12/2016","5,982.52","6,121.65","6,163.73","5,973.79","357.23M","-1.84%"
"01/11/2016","6,094.60","6,196.76","6,196.76","6,082.32","615.94M","-4.13%"
"01/08/2016","6,356.97","6,318.24","6,416.00","6,213.51","470.20M","2.66%"
"01/07/2016","6,192.42","6,471.11","6,480.40","6,187.64","812.87M","-6.16%"
"01/06/2016","6,598.86","6,586.02","6,610.03","6,530.42","385.25M","-0.22%"
"01/05/2016","6,613.55","6,639.16","6,732.75","6,574.51","303.71M","-0.50%"
"01/04/2016","6,646.57","6,828.39","6,828.39","6,591.92","339.33M","-2.13%"
"12/31/2015","6,791.11","6,814.40","6,835.22","6,767.02","162.94M","-0.99%"
"12/30/2015","6,859.13","6,976.53","6,987.07","6,829.16","257.86M","-0.88%"
"12/29/2015","6,919.91","6,897.84","6,944.99","6,867.17","196.98M","-0.25%"
"12/28/2015","6,937.28","7,053.41","7,054.01","6,913.05","269.84M","-1.93%"
"12/24/2015","7,073.65","7,140.25","7,140.25","7,052.73","235.06M","2.34%"
"12/23/2015","6,911.67","6,717.59","6,928.47","6,710.07","323.00M","3.41%"
"12/22/2015","6,683.96","6,680.11","6,723.95","6,637.89","267.49M","0.10%"
"12/21/2015","6,677.31","6,607.99","6,778.71","6,607.99","364.07M","0.43%"
"12/18/2015","6,648.45","6,611.85","6,684.10","6,585.59","399.46M","-1.57%"
"12/17/2015","6,754.55","6,830.90","6,835.91","6,704.93","404.99M","-0.98%"
"12/16/2015","6,821.24","6,703.21","6,926.37","6,703.21","469.53M","4.40%"
"12/15/2015","6,533.49","6,458.41","6,631.72","6,458.41","275.97M","0.43%"
"12/14/2015","6,505.53","6,433.15","6,549.31","6,409.12","325.90M","-1.16%"
"12/11/2015","6,581.75","6,695.99","6,709.52","6,570.29","345.83M","-1.78%"
"12/10/2015","6,700.88","6,784.46","6,838.40","6,685.16","325.68M","-1.96%"
"12/09/2015","6,835.17","6,800.83","6,889.12","6,800.83","322.92M","-0.10%"
"12/08/2015","6,841.74","6,897.64","6,899.13","6,781.17","506.09M","-2.88%"
"12/07/2015","7,044.73","7,215.39","7,220.16","7,032.68","381.07M","-2.89%"
"12/04/2015","7,254.08","7,171.51","7,271.58","7,147.87","417.09M","-0.25%"
"12/03/2015","7,271.98","7,143.53","7,282.11","7,092.19","382.68M","-0.24%"
"12/02/2015","7,289.77","7,272.86","7,291.44","7,218.37","301.58M","0.45%"
"12/01/2015","7,256.95","7,169.36","7,313.39","7,163.23","387.20M","2.50%"
"11/30/2015","7,079.80","6,998.34","7,200.64","6,974.12","678.32M","-0.07%"
"11/27/2015","7,084.52","7,352.60","7,357.62","7,075.89","490.52M","-3.45%"
"11/26/2015","7,337.69","7,391.28","7,441.87","7,312.12","310.10M","0.18%"
"11/25/2015","7,324.20","7,314.59","7,384.32","7,290.44","412.76M","0.85%"
"11/24/2015","7,262.35","7,227.23","7,295.31","7,209.90","296.55M","-0.07%"
"11/23/2015","7,267.39","7,291.82","7,316.51","7,183.03","363.23M","-0.59%"
"11/20/2015","7,310.49","7,180.28","7,346.71","7,147.03","317.73M","1.60%"
"11/19/2015","7,195.67","7,103.76","7,235.11","7,050.27","423.07M","2.29%"
"11/18/2015","7,034.46","7,158.40","7,173.53","7,019.09","360.58M","-1.73%"
"11/17/2015","7,158.00","7,212.93","7,276.74","7,150.25","388.56M","1.79%"
"11/16/2015","7,032.12","7,041.32","7,104.23","7,030.98","401.23M","-2.75%"
"11/13/2015","7,231.24","7,334.52","7,334.83","7,195.28","400.62M","-3.98%"
"11/12/2015","7,530.81","7,368.49","7,574.89","7,336.69","278.99M","2.59%"
"11/11/2015","7,340.89","7,415.66","7,451.09","7,328.76","291.06M","-1.66%"
"11/10/2015","7,465.11","7,494.02","7,529.53","7,434.79","307.16M","-1.80%"
"11/09/2015","7,601.88","7,614.63","7,659.59","7,573.11","239.54M","-1.56%"
"11/06/2015","7,722.19","7,829.45","7,833.22","7,700.61","291.20M","-2.25%"
"11/05/2015","7,899.61","7,858.54","7,927.86","7,849.02","286.65M","-0.68%"
"11/04/2015","7,953.61","7,821.71","8,066.04","7,821.71","535.34M","3.76%"
"11/03/2015","7,665.28","7,734.53","7,756.80","7,632.84","237.20M","0.98%"
"11/02/2015","7,590.99","7,630.53","7,665.02","7,550.94","234.31M","-0.90%"
"10/30/2015","7,660.13","7,708.64","7,724.42","7,621.20","373.70M","-1.71%"
"10/29/2015","7,793.61","7,831.10","7,934.84","7,785.32","435.74M","1.18%"
"10/28/2015","7,702.60","7,735.38","7,751.68","7,669.63","291.94M","-1.78%"
"10/27/2015","7,842.21","7,827.77","7,847.13","7,735.66","368.72M","-0.77%"
"10/26/2015","7,902.80","8,086.19","8,086.19","7,887.51","292.64M","-0.91%"
"10/23/2015","7,975.01","8,024.64","8,035.88","7,955.73","372.26M","1.49%"
"10/22/2015","7,857.63","7,950.23","7,950.23","7,821.32","287.52M","-2.38%"
"10/20/2015","8,048.80","8,140.59","8,140.59","7,937.72","290.17M","-1.35%"
"10/19/2015","8,158.95","8,104.26","8,205.26","8,046.03","285.08M","0.50%"
"10/16/2015","8,118.16","8,179.33","8,220.00","8,046.91","486.38M","-0.01%"
"10/15/2015","8,118.74","8,040.25","8,165.04","8,000.38","377.79M","2.55%"
"10/14/2015","7,916.94","7,805.69","7,995.66","7,805.69","309.58M","-0.55%"
"10/13/2015","7,960.56","7,897.89","8,022.98","7,862.94","387.07M","-1.73%"
"10/12/2015","8,101.05","7,994.52","8,115.34","7,970.29","413.05M","2.05%"
"10/09/2015","7,938.47","7,949.46","8,120.96","7,917.80","573.68M","2.35%"
"10/08/2015","7,756.29","7,940.24","7,940.24","7,654.74","551.57M","-3.03%"
"10/07/2015","7,998.28","7,445.45","8,007.89","7,399.77","954.09M","9.71%"
"10/06/2015","7,290.19","7,293.83","7,394.64","7,244.53","488.96M","1.68%"
"10/05/2015","7,169.91","7,180.73","7,233.91","7,115.91","332.79M","1.87%"
"10/02/2015","7,038.61","6,944.10","7,060.53","6,913.17","446.06M","3.12%"
"09/30/2015","6,825.73","6,654.79","6,870.94","6,654.79","455.59M","4.51%"
"09/29/2015","6,531.42","6,728.47","6,728.47","6,504.61","531.20M","-6.56%"
"09/25/2015","6,989.92","6,931.91","7,025.11","6,887.00","314.70M","0.53%"
"09/24/2015","6,952.95","7,020.47","7,078.23","6,907.63","251.67M","-1.38%"
"09/23/2015","7,050.07","7,235.08","7,246.97","6,969.65","414.22M","-4.01%"
"09/22/2015","7,344.65","7,306.61","7,470.07","7,306.61","265.09M","0.86%"
"09/21/2015","7,282.27","7,295.46","7,306.63","7,213.48","267.43M","-2.52%"
"09/18/2015","7,470.84","7,453.89","7,500.59","7,373.60","386.88M","0.13%"
"09/17/2015","7,460.94","7,506.02","7,628.28","7,431.72","438.17M","0.48%"
"09/16/2015","7,425.16","7,387.02","7,464.39","7,230.65","367.66M","2.19%"
"09/15/2015","7,266.36","7,294.59","7,379.50","7,231.17","273.85M","-0.44%"
"09/14/2015","7,298.55","7,320.20","7,388.50","7,229.74","343.85M","-0.38%"
"09/11/2015","7,326.70","7,598.66","7,598.66","7,306.58","627.53M","-2.52%"
"09/10/2015","7,515.82","7,553.28","7,553.28","7,402.67","505.58M","-4.19%"
"09/09/2015","7,844.90","7,557.70","7,893.58","7,502.94","604.79M","6.17%"
"09/08/2015","7,389.28","7,176.40","7,468.20","7,119.10","435.86M","3.52%"
"09/07/2015","7,138.32","7,132.00","7,359.71","7,132.00","319.09M","-0.86%"
