"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2017","1,702.31","1,705.14","1,717.66","1,690.52","86.34M","0.22%"
"01/03/2017","1,698.50","1,688.67","1,704.35","1,684.14","75.72M","0.04%"
"12/30/2016","1,697.86","1,690.99","1,704.26","1,688.33","74.97M","0.81%"
"12/29/2016","1,684.27","1,672.02","1,690.12","1,671.20","62.68M","0.32%"
"12/28/2016","1,678.88","1,669.02","1,686.10","1,666.84","84.52M","0.61%"
"12/23/2016","1,668.77","1,672.31","1,679.47","1,668.77","96.46M","-0.39%"
"12/22/2016","1,675.34","1,692.22","1,698.01","1,674.45","88.60M","-1.02%"
"12/21/2016","1,692.64","1,695.11","1,704.01","1,686.59","143.25M","-0.01%"
"12/20/2016","1,692.84","1,684.15","1,699.37","1,682.65","105.55M","1.06%"
"12/19/2016","1,675.07","1,680.01","1,690.13","1,674.41","89.85M","-0.73%"
"12/16/2016","1,687.31","1,685.86","1,695.52","1,679.23","174.55M","-0.78%"
"12/15/2016","1,700.64","1,703.71","1,715.02","1,692.58","143.36M","-0.82%"
"12/14/2016","1,714.75","1,719.90","1,732.56","1,711.20","104.95M","0.24%"
"12/13/2016","1,710.62","1,710.68","1,715.84","1,694.76","130.18M","0.00%"
"12/12/2016","1,710.60","1,753.78","1,753.78","1,708.33","141.12M","-1.94%"
"12/09/2016","1,744.43","1,760.88","1,764.09","1,740.58","144.44M","-0.66%"
"12/08/2016","1,755.99","1,761.06","1,768.95","1,751.05","174.17M","0.71%"
"12/07/2016","1,743.56","1,749.09","1,749.32","1,730.29","105.03M","0.23%"
"12/06/2016","1,739.55","1,744.55","1,748.24","1,729.11","107.78M","0.33%"
"12/05/2016","1,733.83","1,758.14","1,758.14","1,728.29","142.40M","-0.88%"
"12/02/2016","1,749.17","1,774.12","1,779.29","1,749.17","204.76M","-1.90%"
"12/01/2016","1,783.13","1,765.17","1,786.06","1,758.32","317.77M","1.62%"
"11/30/2016","1,754.72","1,742.61","1,778.10","1,732.04","459.12M","1.44%"
"11/29/2016","1,729.84","1,727.02","1,743.50","1,727.02","124.65M","-0.64%"
"11/28/2016","1,740.90","1,723.73","1,750.89","1,723.73","136.74M","0.65%"
"11/25/2016","1,729.72","1,722.02","1,741.15","1,716.23","80.97M","0.36%"
"11/24/2016","1,723.55","1,723.18","1,733.26","1,721.28","91.82M","-0.48%"
"11/23/2016","1,731.86","1,740.08","1,743.46","1,725.87","147.52M","-0.47%"
"11/22/2016","1,739.98","1,736.85","1,742.48","1,728.30","166.67M","0.28%"
"11/21/2016","1,735.18","1,743.77","1,751.69","1,725.77","146.43M","-0.47%"
"11/18/2016","1,743.42","1,731.46","1,749.83","1,724.46","202.85M","0.18%"
"11/17/2016","1,740.30","1,724.09","1,747.77","1,720.61","164.82M","0.47%"
"11/16/2016","1,732.17","1,742.38","1,760.74","1,732.17","176.70M","-0.35%"
"11/15/2016","1,738.34","1,727.38","1,749.38","1,727.16","147.36M","0.64%"
"11/14/2016","1,727.20","1,735.49","1,735.65","1,711.79","197.31M","-0.53%"
"11/11/2016","1,736.46","1,764.78","1,770.39","1,736.46","264.55M","-3.38%"
"11/10/2016","1,797.29","1,809.76","1,823.37","1,797.29","117.41M","0.54%"
"11/09/2016","1,787.61","1,835.71","1,835.71","1,753.89","217.16M","-2.22%"
"11/08/2016","1,828.23","1,827.89","1,831.80","1,819.24","78.42M","0.65%"
"11/07/2016","1,816.42","1,830.44","1,830.44","1,811.88","102.44M","0.87%"
"11/04/2016","1,800.82","1,797.43","1,824.74","1,796.47","116.06M","-0.14%"
"11/03/2016","1,803.28","1,801.16","1,816.99","1,801.16","110.00M","-0.23%"
"11/02/2016","1,807.38","1,824.72","1,824.72","1,807.38","107.99M","-1.50%"
"11/01/2016","1,834.96","1,822.59","1,849.20","1,822.59","103.43M","0.32%"
"10/31/2016","1,829.02","1,847.79","1,847.79","1,823.22","129.07M","0.56%"
"10/28/2016","1,818.83","1,826.46","1,833.33","1,812.87","116.30M","-1.05%"
"10/27/2016","1,838.21","1,864.06","1,864.06","1,826.17","123.25M","-0.86%"
"10/26/2016","1,854.21","1,858.20","1,868.31","1,853.49","95.03M","-0.64%"
"10/25/2016","1,866.17","1,881.01","1,881.01","1,863.85","126.50M","-0.45%"
"10/24/2016","1,874.64","1,859.35","1,875.03","1,851.66","150.24M","-0.95%"
"10/20/2016","1,892.68","1,918.71","1,918.71","1,890.34","174.43M","-0.72%"
"10/19/2016","1,906.40","1,922.93","1,932.64","1,899.13","152.74M","-0.47%"
"10/18/2016","1,915.43","1,893.45","1,916.34","1,884.53","121.40M","1.16%"
"10/17/2016","1,893.50","1,922.06","1,926.07","1,889.77","126.88M","-1.75%"
"10/14/2016","1,927.27","1,922.91","1,935.60","1,921.81","138.11M","0.34%"
"10/13/2016","1,920.65","1,942.44","1,943.33","1,916.25","138.05M","-1.32%"
"10/12/2016","1,946.39","1,935.66","1,946.39","1,931.68","141.89M","-0.24%"
"10/11/2016","1,951.04","1,983.07","1,988.19","1,938.98","334.07M","-0.52%"
"10/07/2016","1,961.23","1,971.48","1,976.30","1,948.59","132.17M","-0.91%"
"10/06/2016","1,979.18","1,977.69","1,981.72","1,971.97","114.03M","0.27%"
"10/05/2016","1,973.82","1,957.14","1,976.52","1,951.04","87.40M","0.74%"
"10/04/2016","1,959.23","1,961.24","1,962.82","1,952.69","87.56M","0.53%"
"10/03/2016","1,948.93","1,945.08","1,955.35","1,942.54","78.35M","1.84%"
"09/30/2016","1,913.67","1,936.73","1,942.64","1,913.67","122.29M","-2.31%"
"09/29/2016","1,958.95","1,965.14","1,969.94","1,942.46","99.96M","0.20%"
"09/28/2016","1,955.11","1,928.03","1,955.11","1,928.03","111.65M","0.81%"
"09/27/2016","1,939.44","1,919.33","1,950.36","1,919.33","100.93M","0.04%"
"09/26/2016","1,938.57","1,948.08","1,953.18","1,927.15","98.58M","-1.15%"
"09/23/2016","1,961.09","1,973.67","1,974.56","1,949.55","203.38M","-0.24%"
"09/22/2016","1,965.71","1,973.55","1,983.40","1,954.85","126.88M","0.93%"
"09/21/2016","1,947.61","1,939.92","1,953.61","1,929.25","84.06M","0.53%"
"09/20/2016","1,937.27","1,932.04","1,937.27","1,923.78","109.51M","-0.07%"
"09/19/2016","1,938.64","1,941.95","1,949.06","1,935.08","144.98M","0.90%"
"09/15/2016","1,921.37","1,931.24","1,938.39","1,918.01","126.76M","-0.86%"
"09/14/2016","1,937.99","1,941.87","1,945.26","1,932.37","96.49M","-0.09%"
"09/13/2016","1,939.67","1,947.08","1,955.08","1,933.89","134.81M","0.95%"
"09/12/2016","1,921.34","1,936.02","1,952.06","1,921.34","192.08M","-3.49%"
"09/09/2016","1,990.80","1,965.60","2,011.57","1,964.61","233.26M","1.53%"
"09/08/2016","1,960.83","1,931.08","1,963.84","1,921.40","170.53M","1.70%"
"09/07/2016","1,928.11","1,947.37","1,948.68","1,921.51","128.39M","-1.02%"
"09/06/2016","1,947.99","1,972.48","1,972.48","1,937.92","132.09M","-0.55%"
"09/05/2016","1,958.81","1,969.27","1,976.82","1,949.48","127.49M","1.04%"
"09/02/2016","1,938.69","1,925.77","1,942.13","1,925.76","124.68M","0.62%"
"09/01/2016","1,926.72","1,923.69","1,936.10","1,902.09","138.05M","-0.77%"
"08/31/2016","1,941.73","1,973.40","1,973.40","1,940.21","136.32M","-1.13%"
"08/30/2016","1,963.90","1,964.73","1,983.54","1,961.41","122.77M","0.27%"
"08/29/2016","1,958.66","1,954.84","1,970.84","1,953.95","127.90M","0.00%"
"08/26/2016","1,958.72","1,959.64","1,973.71","1,954.93","79.53M","-0.06%"
"08/25/2016","1,959.92","1,974.70","1,977.14","1,958.29","131.53M","-0.74%"
"08/24/2016","1,974.50","1,985.12","1,990.78","1,965.06","144.96M","-0.41%"
"08/23/2016","1,982.58","1,975.18","1,986.47","1,961.84","168.04M","-0.31%"
"08/22/2016","1,988.81","2,005.47","2,012.03","1,974.76","164.56M","-0.85%"
"08/19/2016","2,005.95","1,996.25","2,013.79","1,993.94","276.89M","0.53%"
"08/18/2016","1,995.39","1,970.97","2,010.39","1,970.97","405.28M","1.97%"
"08/17/2016","1,956.93","1,976.89","1,986.00","1,947.65","171.14M","-0.76%"
"08/16/2016","1,971.98","1,974.48","1,994.41","1,960.80","191.58M","-0.62%"
"08/15/2016","1,984.38","1,983.41","1,992.90","1,972.16","125.33M","-0.22%"
