Date,Price,Open,High,Low,Vol.,Change %
05/31/2004,970,970.12,973.11,952.22,108.12M,-0.22%
05/28/2004,972.11,964.8,984.57,955.57,59.13M,1.67%
05/27/2004,956.12,937.46,957.16,937.46,60.55M,3.17%
05/25/2004,926.77,924.72,932.77,918.35,42.26M,-0.41%
05/24/2004,930.57,920.65,931.25,917.85,70.02M,1.47%
05/21/2004,917.08,890.48,918.54,883.29,68.01M,2.78%
05/20/2004,892.27,894.97,910.72,877.14,37.30M,-0.65%
05/19/2004,898.11,888.31,901.6,876.03,80.52M,5.80%
05/18/2004,848.89,841.18,857.14,834.65,60.26M,1.38%
05/17/2004,837.35,899.7,902.19,834.44,62.85M,-7.62%
05/14/2004,906.42,925.88,932.89,905.16,60.47M,-2.28%
05/13/2004,927.56,939.85,942.52,921.37,42.58M,-1.37%
05/12/2004,940.45,939.2,951.11,937.4,55.03M,1.23%
05/11/2004,929.06,920.78,933.06,905.69,37.51M,1.04%
05/10/2004,919.53,962.7,962.7,917.63,51.32M,-5.38%
05/07/2004,971.84,993.72,993.72,968.09,39.05M,-2.02%
05/06/2004,991.85,988.83,1007.35,988.83,60.63M,-0.04%
05/05/2004,992.28,999.48,1000.27,973.55,45.46M,-0.47%
05/04/2004,996.94,978.17,1002.39,978.17,75.85M,3.52%
05/03/2004,963.01,968.61,973.79,958.84,41.40M,-1.39%
04/30/2004,976.54,972.55,980.86,952.91,55.49M,-0.95%
04/29/2004,985.86,1015.5,1015.5,980.11,53.75M,-4.81%
04/28/2004,1035.65,1039.99,1048.57,1033.28,42.54M,-0.23%
04/27/2004,1038.07,1043.74,1055.81,1036.33,61.87M,-0.20%
04/26/2004,1040.12,1076.11,1076.11,1032.15,53.07M,-3.93%
04/23/2004,1082.66,1056.73,1083.59,1055.61,57.83M,4.40%
04/22/2004,1037.06,1045.84,1061.08,1028.18,73.02M,-1.14%
04/21/2004,1048.97,1037.09,1054.54,1016.41,111.42M,-0.76%
