"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2021","1.2123","1.2129","1.2146","1.2120","24.86K","-0.03%"
"06/07/2021","1.2126","1.2130","1.2136","1.2113","20.75K","0.00%"
"06/04/2021","1.2127","1.2115","1.2134","1.2096","14.45K","0.10%"
"06/03/2021","1.2114","1.2159","1.2162","1.2111","15.41K","-0.35%"
"06/02/2021","1.2157","1.2158","1.2169","1.2139","14.01K","0.03%"
"06/01/2021","1.2154","1.2184","1.2200","1.2150","17.12K","-0.22%"
"05/31/2021","1.2181","1.2187","1.2208","1.2172","14.52K","-0.04%"
"05/28/2021","1.2186","1.2157","1.2201","1.2152","17.89K","0.25%"
"05/27/2021","1.2155","1.2144","1.2178","1.2132","16.20K","0.11%"
"05/26/2021","1.2142","1.2108","1.2155","1.2108","16.19K","0.30%"
"05/25/2021","1.2106","1.2096","1.2127","1.2094","15.21K","0.11%"
"05/24/2021","1.2093","1.2067","1.2103","1.2055","14.44K","0.22%"
"05/21/2021","1.2067","1.2063","1.2081","1.2059","14.06K","0.04%"
"05/20/2021","1.2061","1.2067","1.2072","1.2049","14.23K","-0.03%"
"05/19/2021","1.2064","1.2085","1.2091","1.2054","11.48K","-0.16%"
"05/18/2021","1.2084","1.2061","1.2098","1.2060","13.41K","0.19%"
"05/17/2021","1.2061","1.2066","1.2072","1.2050","13.12K","-0.05%"
"05/14/2021","1.2066","1.2040","1.2080","1.2039","14.71K","0.24%"
"05/13/2021","1.2037","1.2027","1.2048","1.2024","14.70K","0.09%"
"05/12/2021","1.2026","1.2083","1.2085","1.2025","14.92K","-0.47%"
"05/11/2021","1.2082","1.2102","1.2104","1.2071","14.42K","-0.15%"
"05/10/2021","1.2100","1.2074","1.2119","1.2068","14.27K","0.25%"
"05/07/2021","1.2070","1.2018","1.2076","1.2012","15.46K","0.50%"
"05/06/2021","1.2010","1.2002","1.2022","1.1982","15.64K","0.08%"
"05/05/2021","1.2001","1.2000","1.2003","1.1999","10.73K","0.02%"
"05/04/2021","1.1999","1.1998","1.2001","1.1997","8.57K","0.02%"
"05/03/2021","1.1996","1.1998","1.2000","1.1996","8.83K","-0.01%"
"04/30/2021","1.1998","1.1995","1.2014","1.1988","14.63K","0.05%"
"04/29/2021","1.1992","1.1983","1.2009","1.1980","14.41K","0.11%"
"04/28/2021","1.1979","1.1973","1.1984","1.1959","15.71K","0.06%"
"04/27/2021","1.1972","1.1965","1.1980","1.1956","18.26K","0.07%"
"04/26/2021","1.1963","1.1947","1.1970","1.1946","14.98K","0.16%"
"04/23/2021","1.1944","1.1954","1.1961","1.1939","18.29K","-0.07%"
"04/22/2021","1.1953","1.1962","1.1974","1.1946","16.28K","-0.06%"
"04/21/2021","1.1961","1.1941","1.1965","1.1937","16.88K","0.18%"
"04/20/2021","1.1939","1.1928","1.1964","1.1928","15.86K","0.11%"
"04/19/2021","1.1925","1.1917","1.1944","1.1900","14.28K","0.08%"
"04/16/2021","1.1916","1.1908","1.1926","1.1887","24.79K","0.08%"
"04/15/2021","1.1906","1.1894","1.1914","1.1869","21.98K","0.13%"
"04/14/2021","1.1891","1.1878","1.1900","1.1875","20.69K","0.13%"
"04/13/2021","1.1876","1.1871","1.1884","1.1860","18.75K","0.10%"
"04/12/2021","1.1864","1.1869","1.1885","1.1854","17.05K","-0.04%"
"04/09/2021","1.1868","1.1872","1.1883","1.1852","16.27K","-0.02%"
"04/08/2021","1.1870","1.1900","1.1900","1.1870","20.20K","-0.23%"
"04/07/2021","1.1897","1.1891","1.1903","1.1883","15.60K","0.09%"
"04/06/2021","1.1886","1.1841","1.1893","1.1840","12.08K","0.42%"
"04/05/2021","1.1836","1.1840","1.1843","1.1840","4.71K","0.00%"
"04/02/2021","1.1836","1.1844","1.1857","1.1836","14.42K","-0.05%"
"04/01/2021","1.1842","1.1864","1.1865","1.1817","14.96K","-0.17%"
"03/31/2021","1.1862","1.1830","1.1879","1.1829","13.72K","0.28%"
"03/30/2021","1.1829","1.1832","1.1848","1.1815","16.55K","0.01%"
"03/29/2021","1.1828","1.1877","1.1881","1.1824","14.03K","-0.40%"
"03/26/2021","1.1875","1.1867","1.1885","1.1866","13.96K","0.09%"
"03/25/2021","1.1865","1.1905","1.1908","1.1865","13.79K","-0.32%"
"03/24/2021","1.1903","1.1920","1.1923","1.1900","14.06K","-0.13%"
"03/23/2021","1.1919","1.1933","1.1936","1.1917","14.50K","-0.11%"
"03/22/2021","1.1932","1.1930","1.1939","1.1923","15.99K","0.05%"
"03/19/2021","1.1925","1.1934","1.1948","1.1915","16.11K","-0.06%"
"03/18/2021","1.1932","1.1939","1.1965","1.1924","15.26K","-0.04%"
"03/17/2021","1.1937","1.1935","1.1951","1.1932","16.55K","0.03%"
"03/16/2021","1.1933","1.1947","1.1958","1.1933","15.63K","-0.10%"
"03/15/2021","1.1946","1.1927","1.1954","1.1925","14.09K","0.17%"
"03/12/2021","1.1926","1.1949","1.1978","1.1924","19.29K","-0.17%"
"03/11/2021","1.1946","1.1930","1.1970","1.1928","19.19K","0.16%"
"03/10/2021","1.1928","1.1928","1.1940","1.1911","17.50K","0.03%"
"03/09/2021","1.1925","1.1905","1.1937","1.1872","33.72K","0.19%"
"03/08/2021","1.1902","1.1950","1.1960","1.1892","55.40K","-0.38%"
"03/05/2021","1.1948","1.1992","1.1997","1.1947","30.06K","-0.36%"
