Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,FCF,FCF FQ-1,FCF FQ-2,FCF FQ-3,FCF FQ-4,FCF FQ-5,FCF FQ-6,FCF FQ-7,FCF FQ-8,FCF FQ-9,FCF FQ-10,FCF FQ-11,FCF FQ-12
1755,"S-Enjoy Service Group Co., Limited",Real Estate,Real Estate Management & Development,Real Estate,638.2 M,2022,45.591 M,-30.983 M,54.947 M,54.148 M,1.022 M,1.007 M,61.429 M,59.056 M,-1.446 M,-1.442 M,37.158 M,36.204 M,1.667 M
975,Mongolian Mining Corporation,Materials,Metals & Mining,Materials,382.5 M,2022,-,77.206 M,39.683 M,39.683 M,17.7 M,17.7 M,9.391 M,9.391 M,19.556 M,19.556 M,577.5 K,577.5 K,13.082 M
6811,Tai Hing Group Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,126.8 M,2022,61.327 M,9.782 M,21.034 M,21.066 M,15.187 M,15.168 M,21.5 M,21.507 M,12.389 M,12.385 M,16.816 M,16.719 M,12.269 M
2181,Mabpharm Limited,Healthcare,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",283.7 M,2022,-42.929 M,-8.604 M,-14.046 M,-13.842 M,-13.133 M,-12.942 M,-12.755 M,-12.262 M,-12.593 M,-12.563 M,-11.251 M,-10.962 M,-6.809 M
1905,"Haitong Unitrust International Financial Leasing Co., Ltd.",Financials,Diversified Financial Services,Diversified Financials,891.7 M,2022,-1.118 B,-151.7 M,162.3 M,-572.7 M,-227.9 M,-406.7 M,508.2 M,116.5 M,-252.2 M,-842.4 M,103.9 M,-423.2 M,-376.4 M
6055,China Tobacco International (HK) Company Limited,Consumer Discretionary,Distributors,Retailing,912.9 M,2022,-,NA,-25.703 M,-25.748 M,-16.363 M,-16.387 M,-15.898 M,-15.879 M,-1.744 M,-1.745 M,-1.138 M,-1.137 M,12.25 M
754,Hopson Development Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,2.698 B,2022,2.495 B,397.2 M,855.2 M,856.5 M,504.8 M,504.2 M,-130 M,-130.1 M,-1.872 B,-1.872 B,-292 M,-290.4 M,443 M
1951,Jinxin Fertility Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,1.865 B,2022,-80.77 M,-51.772 M,9.076 M,8.944 M,11.481 M,11.314 M,1.951 M,1.875 M,1.162 M,1.159 M,-3.106 M,-3.027 M,15.913 M
1901,Feiyang International Holdings Group Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,113.1 M,2022,-12.05 M,-3.374 M,-2.986 M,-2.943 M,468.941 K,462.114 K,-215.54 K,-207.213 K,-239.12 K,-238.546 K,-5.198 M,-5.065 M,-2.594 M
1286,Impro Precision Industries Limited,Industrials,Machinery,Capital Goods,665 M,2022,-,NA,1.444 M,1.447 M,-19.877 M,-19.908 M,-14.662 M,-14.644 M,6.709 M,6.711 M,19.332 M,19.326 M,19.276 M
382,Edvantage Group Holdings Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,381.5 M,2022,43.49 M,49.833 M,-28.949 M,-28.697 M,38.808 M,39.366 M,-21.666 M,-21.32 M,19.067 M,18.294 M,-35.434 M,-35.222 M,34.822 M
3868,Xinyi Energy Holdings Limited,Utilities,Independent Power & Renewable Electricity Producers,Utilities,2.246 B,2022,-,NA,4.138 M,4.145 M,31.998 M,32.047 M,-6.426 M,-6.418 M,30.437 M,30.447 M,8.481 M,8.479 M,51.811 M
2798,Perennial Energy Holdings Limited,Materials,Metals & Mining,Materials,236.4 M,2022,-,NA,-8.162 M,-8.625 M,-3.149 M,-3.103 M,10.693 M,10.538 M,4.421 M,4.25 M,13.603 M,13.57 M,-4.492 M
2231,JY Grandmark Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,251.7 M,2022,-195.5 M,14.136 M,-117.1 M,-115.4 M,-18.162 M,-17.897 M,-86.515 M,-83.173 M,-31.915 M,-31.838 M,-78.134 M,-76.129 M,-26.77 M
1921,Dalipal Holdings Limited,Energy,Energy Equipment & Services,Energy,421.9 M,2022,-,NA,9.443 M,9.978 M,-8.025 M,-7.908 M,-20.828 M,-20.525 M,-5.847 M,-5.621 M,24.521 M,24.462 M,-14.309 M
3886,Town Health International Medical Group Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,280.4 M,2022,14.193 M,-732.452 K,7.878 M,7.89 M,1.814 M,1.811 M,-416.125 K,-416.256 K,125.863 K,125.828 K,6.451 M,6.414 M,3.852 M
1084,Green Future Food Hydrocolloid Marine Science Company Limited,Materials,Chemicals,Materials,134.6 M,2022,1.421 M,-4.748 M,5.486 M,5.494 M,-4.943 M,-4.936 M,881.331 K,881.609 K,-2.111 M,-2.111 M,-707.485 K,-703.396 K,-5.628 M
1967,Confidence Intelligence Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,738.9 M,2022,5.424 M,3.642 M,-774.744 K,-763.475 K,-2.826 M,-2.785 M,-1.219 M,-1.172 M,-263.463 K,-262.831 K,1.255 M,1.223 M,705.579 K
2337,United Strength Power Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,290.1 M,2022,12.658 M,7.096 M,-407.16 K,-401.237 K,3.437 M,3.387 M,-4.565 M,-4.389 M,14.04 M,14.006 M,13.002 M,12.668 M,3.868 M
1652,Fusen Pharmaceutical Company Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",117.9 M,2022,-14.328 M,-5.191 M,-2.374 M,-2.34 M,-2.492 M,-2.456 M,2.7 M,2.596 M,4.197 M,4.187 M,-424.895 K,-413.99 K,-2.294 M
788,China Tower Corporation Limited,Communication Services,Diversified Telecommunication Services,Telecommunication Services,21.749 B,2022,5.533 B,1.04 B,1.709 B,1.256 B,1.785 B,1.739 B,313.5 M,520.5 M,917.6 M,141.5 M,831.4 M,977.4 M,1.556 B
2232,Crystal International Group Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,1.047 B,2022,-,NA,39.157 M,39.157 M,37.623 M,37.623 M,24.607 M,24.607 M,116.7 M,116.7 M,16.269 M,16.269 M,107.8 M
1569,Minsheng Education Group Company Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,220.3 M,2022,27.812 M,-36.559 M,51.138 M,50.394 M,-33.219 M,-32.736 M,36.397 M,34.991 M,-16.122 M,-16.083 M,44.128 M,42.996 M,-32.951 M
3329,BOCOM International Holdings Company Limited,Financials,Capital Markets,Diversified Financials,167.2 M,2022,312.9 M,105.2 M,51.789 M,51.868 M,16.648 M,16.627 M,-112.7 M,-112.8 M,-134.2 M,-134.2 M,-43.814 M,-43.56 M,-31.176 M
2169,Canggang Railway Limited,Industrials,Road & Rail,Transportation,328.7 M,2022,-,NA,-6.922 M,-7.315 M,3.645 M,3.592 M,2.211 M,2.179 M,6.146 M,5.908 M,4.358 M,4.347 M,0 K
2096,Simcere Pharmaceutical Group Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",2.942 B,2022,118.9 M,54.017 M,8.763 M,8.635 M,-40.485 M,-39.896 M,-2.179 M,-2.095 M,-16.111 M,-16.072 M,-10.31 M,-10.045 M,29.761 M
6199,"Bank of Guizhou Co., Ltd.",Financials,Banks,Banks,3.327 B,2022,-624.3 M,-1.655 B,-233.6 M,2.835 B,-2.125 B,-2.094 B,-913.5 M,-878.2 M,127.3 M,127 M,-127.8 M,-124.5 M,-1.449 B
1442,Infinity Logistics and Transport Ventures Limited,Industrials,Air Freight & Logistics,Transportation,297.1 M,2022,-19.145 M,-2.859 M,-7.239 M,-7.209 M,164.319 K,164.712 K,-323.058 K,-312.718 K,807.479 K,802.109 K,-1.074 M,-1.05 M,675.535 K
2142,HBM Holdings Limited,Healthcare,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",208.2 M,2022,-121.5 M,-26.781 M,-33.979 M,-33.979 M,-35.551 M,-35.551 M,-8.362 M,-8.362 M,-9.566 M,-9.566 M,-12.979 M,-12.979 M,-16.598 M
1597,China Nature Energy Technology Holdings Limited,Industrials,Electrical Equipment,Capital Goods,111.1 M,2022,-274.917 K,599.943 K,-743.509 K,-732.694 K,559.926 K,551.774 K,-731.793 K,-703.524 K,1.432 M,1.429 M,0 K,0 K,0 K
9677,"Weihai City Commercial Bank Co., Ltd.",Financials,Banks,Banks,2.346 B,2022,-3.086 B,-1.052 B,-577.5 M,-569.1 M,-1.029 B,-1.014 B,-1.404 B,-1.35 B,-2.087 B,637.9 M,-255.5 M,-248.9 M,0 K
9906,Honliv Healthcare Management Group Company Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,183.4 M,2022,9.208 M,2.875 M,1.986 M,1.957 M,1.176 M,1.159 M,-1.953 M,-1.878 M,1.393 M,1.389 M,-2.015 M,-1.963 M,3.547 M
6968,Ganglong China Property Group Limited,Real Estate,Real Estate Management & Development,Real Estate,107.4 M,2022,65.557 M,84.134 M,-49.385 M,-48.666 M,-258.8 M,-255 M,-67.994 M,-65.367 M,42.015 M,41.914 M,-307.4 M,-299.5 M,-181.6 M
9908,"JiaXing Gas Group Co., Ltd.",Utilities,Gas Utilities,Utilities,174.5 M,2022,22.175 M,10.379 M,1.334 M,1.315 M,4.221 M,4.16 M,7.729 M,7.43 M,3.502 M,3.493 M,2.908 M,2.833 M,3.612 M
9986,Dashan Education Holdings Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,318 M,2022,-37.678 M,-5.527 M,-14.348 M,-14.139 M,7.397 M,7.289 M,2.32 M,2.231 M,1.713 M,1.709 M,-1.704 M,-1.661 M,8.738 M
2148,"Vesync Co., Ltd",Consumer Discretionary,Household Durables,Consumer Durables & Apparel,505.2 M,2022,-49.119 M,-14.816 M,-9.743 M,-9.743 M,-15.577 M,-15.577 M,-9.963 M,-9.963 M,14.341 M,14.341 M,1.376 M,1.376 M,-2.492 M
9936,Ximei Resources Holding Limited,Materials,Metals & Mining,Materials,176.6 M,2022,-43.884 M,-17.626 M,-5.548 M,-5.467 M,2.907 M,2.865 M,-1.536 M,-1.476 M,-6.438 M,-6.423 M,-4.73 M,-4.608 M,2.565 M
1961,Infinities Technology International (Cayman) Holding Limited,Communication Services,Entertainment,Media,124.5 M,2022,-55.073 K,-542.299 K,512.038 K,504.59 K,-2.534 M,-2.497 M,593.232 K,570.316 K,-4.694 M,-4.683 M,4.065 M,-1.902 M,-6.073 M
3991,Changhong Jiahua Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,193.2 M,2022,-150 M,-158.3 M,229.7 M,230.1 M,-54.23 M,-54.163 M,11.378 M,11.381 M,-156.6 M,-156.6 M,0 K,0 K,0 K
1463,C-Link Squared Limited,Industrials,Professional Services,Commercial & Professional Services,431.1 M,2022,820.852 K,-2.118 M,2.572 M,2.561 M,424.221 K,425.234 K,394.655 K,382.024 K,-2.715 M,-2.697 M,1.418 M,663.387 K,361.471 K
1745,Lvji Technology Holdings Inc.,Information Technology,Software,Software & Services,127.2 M,2022,-,NA,4.711 M,4.978 M,9.611 M,9.472 M,-3.062 M,-3.018 M,4.083 M,3.925 M,-1.054 M,-1.051 M,9.073 M
6928,TOMO Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,165.7 M,2022,-395.322 K,-173.487 K,-29.29 K,-29.091 K,-19.108 K,-19.103 K,-162.227 K,-156.959 K,523.914 K,513.692 K,0 K,0 K,0 K
1440,Deyun Holding Ltd.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,215.1 M,2022,1.287 M,1.033 M,-352.085 K,-346.964 K,-483.189 K,-476.154 K,4.957 M,4.766 M,1.123 M,1.12 M,734.608 K,715.755 K,2.566 M
846,Mingfa Group (International) Company Limited,Real Estate,Real Estate Management & Development,Real Estate,291.1 M,2022,-169.2 M,-24.81 M,-64.427 M,-63.49 M,120.5 M,118.8 M,-33.73 M,-32.427 M,58.339 M,58.199 M,-65.214 M,-63.54 M,106.8 M
1795,Yadong Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,203.3 M,2022,-12.247 M,-5.119 M,-1.349 M,-1.329 M,-5.182 M,-5.106 M,141.165 K,135.712 K,-2.128 M,-2.122 M,0 K,0 K,0 K
3390,Tycoon Group Holdings Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,547.3 M,2022,-5.415 M,-29.936 K,-2.695 M,-2.699 M,-133.495 K,-133.331 K,-2.001 M,-2.001 M,-5.404 M,-5.402 M,3.728 M,3.706 M,887.471 K
6913,South China Vocational Education Group Company Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,244.7 M,2022,802.812 K,-3.81 M,4.225 M,4.164 M,-613.82 K,-604.884 K,16.191 M,15.565 M,-1.864 M,-1.86 M,0 K,0 K,0 K
2216,Broncus Holding Corporation,Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,104.7 M,2022,-34.707 M,-8.558 M,-8.796 M,-8.796 M,-7.879 M,-7.879 M,-4.84 M,-4.84 M,-3.504 M,-3.504 M,0 K,0 K,0 K
2146,"Roiserv Lifestyle Services Co., Ltd.",Real Estate,Real Estate Management & Development,Real Estate,100.6 M,2022,-90.645 M,-45.09 M,-3.137 M,-3.091 M,9.463 M,9.325 M,-5.245 M,-5.042 M,3.781 M,3.772 M,2.265 M,2.207 M,-545.531 K
9600,Newlink Technology Inc.,Information Technology,IT Services,Software & Services,198.4 M,2022,-15.684 M,-3.65 M,-4.626 M,-4.559 M,-3.753 M,0 K,3.016 M,2.9 M,-1.996 M,-1.991 M,1.221 M,1.19 M,-1.461 M
1855,ZONBONG LANDSCAPE Environmental Limited,Industrials,Commercial Services & Supplies,Commercial & Professional Services,316 M,2022,-16.307 M,-8.005 M,-609.048 K,-600.189 K,-7.507 M,-7.397 M,16.244 M,15.617 M,-5.271 M,-5.259 M,3.122 M,3.042 M,-299.27 K
2215,Dexin Services Group Limited,Real Estate,Real Estate Management & Development,Real Estate,333.9 M,2022,-11.003 M,-3.485 M,-2.323 M,-2.29 M,1.904 M,1.876 M,17.167 M,16.503 M,1.923 M,1.919 M,0 K,0 K,0 K
2207,"Ronshine Service Holding Co., Ltd",Real Estate,Real Estate Management & Development,Real Estate,271.9 M,2022,-16.485 M,-10.658 M,1.944 M,1.915 M,-1.832 M,-1.805 M,18.388 M,17.678 M,639.516 K,637.981 K,0 K,0 K,0 K
2257,Sirnaomics Ltd.,Healthcare,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",627.2 M,2022,-95.494 M,-27.209 M,-22.072 M,-19.004 M,-10.488 M,-10.488 M,-7.993 M,0 K,0 K,0 K,0 K,0 K,0 K
2285,Chervon Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,2.243 B,2022,-138 M,-81.017 M,12.025 M,12.025 M,26.5 M,26.5 M,25.846 M,25.846 M,25.24 M,25.24 M,0 K,0 K,0 K
