Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,Revenue,Revenue FQ-1,Revenue FQ-2,Revenue FQ-3,Revenue FQ-4,Revenue FQ-5,Revenue FQ-6,Revenue FQ-7,Revenue FQ-8,Revenue FQ-9,Revenue FQ-10,Revenue FQ-11,Revenue FQ-12
2008,Phoenix Media Investment (Holdings) Limited,Communication Services,Media,Media,194 M,2022,384.8 M,96.416 M,94.946 M,95.112 M,113.7 M,113.8 M,89.316 M,89.206 M,113.2 M,113.2 M,82.168 M,82.145 M,131.3 M
184,Keck Seng Investments (Hong Kong) Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,125.7 M,2022,183.1 M,53.657 M,37.41 M,37.475 M,15.841 M,15.865 M,15.189 M,15.17 M,15.272 M,15.277 M,27.67 M,27.663 M,65.915 M
1045,APT Satellite Holdings Limited,Communication Services,Diversified Telecommunication Services,Telecommunication Services,294.5 M,2022,121 M,28.403 M,31.758 M,31.813 M,30.64 M,30.686 M,28.981 M,28.945 M,27.931 M,27.94 M,29.427 M,29.419 M,31.928 M
62,Transport International Holdings Limited,Industrials,Road & Rail,Transportation,640.1 M,2022,846.5 M,233.2 M,187.8 M,188.1 M,243.3 M,243.6 M,219.5 M,219.2 M,201.1 M,201.1 M,198.3 M,198.2 M,259.1 M
32,The Cross-Harbour (Holdings) Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,509 M,2022,-8.298 M,-,-5.822 M,-5.832 M,-29.784 M,-29.829 M,29.849 M,29.812 M,39.353 M,39.365 M,14.112 M,14.108 M,17.546 M
1100,Mainland Headwear Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,116.3 M,2022,240.1 M,59.398 M,60.018 M,60.122 M,55.063 M,55.146 M,47.761 M,47.702 M,39.797 M,39.81 M,27.801 M,27.794 M,40.145 M
156,Lippo China Resources Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,139.3 M,2022,77.314 M,17.808 M,21.015 M,21.478 M,20.98 M,20.979 M,23.356 M,23.237 M,31.488 M,31.593 M,77.363 M,77.554 M,81.133 M
346,Yanchang Petroleum International Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,126.1 M,2022,2.41 B,596.3 M,613.7 M,614.6 M,657.7 M,656.9 M,1.232 B,1.232 B,526.5 M,526.4 M,306.7 M,304.9 M,219.2 M
1088,China Shenhua Energy Company Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,71.854 B,2022,49.954 B,11.934 B,12.19 B,13.233 B,16.092 B,13.811 B,11.827 B,10.318 B,10.288 B,8.996 B,7.634 B,7.212 B,9.195 B
1393,Hidili Industry International Development Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,119.9 M,2022,598.9 M,178.6 M,137.6 M,135.6 M,84.502 M,83.272 M,65.077 M,62.563 M,35.308 M,35.223 M,44.802 M,43.652 M,41.552 M
295,Kong Sun Holdings Limited,Utilities,Independent Power & Renewable Electricity Producers,Utilities,143 M,2022,106.6 M,22.473 M,33.759 M,33.268 M,43.648 M,43.012 M,53.92 M,51.837 M,54.791 M,54.659 M,66.281 M,64.58 M,84.225 M
3838,China Starch Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",163.4 M,2022,1.732 B,431.1 M,433.9 M,458.5 M,467.3 M,460.5 M,441.3 M,434.9 M,386.2 M,371.3 M,272.5 M,271.8 M,278.5 M
588,Beijing North Star Company Limited,Real Estate,Real Estate Management & Development,Real Estate,862.6 M,2022,1.883 B,270.7 M,673.7 M,366.9 M,-,1.078 B,584.1 M,1 B,2.018 B,217.5 M,122.4 M,350.7 M,1.443 B
887,Emperor Watch & Jewellery Limited,Consumer Discretionary,Specialty Retail,Retailing,150.3 M,2022,472 M,129.9 M,104.9 M,105 M,119 M,119.2 M,133.4 M,133.2 M,109.4 M,109.4 M,60.034 M,60.017 M,109.6 M
2722,"Chongqing Machinery & Electric Co., Ltd.",Industrials,Industrial Conglomerates,Capital Goods,291 M,2022,1.045 B,260 M,261.7 M,276.5 M,285.7 M,281.5 M,292.7 M,288.4 M,276.4 M,265.7 M,195.2 M,194.7 M,221.1 M
373,Allied Group Limited,Financials,Consumer Finance,Diversified Financials,774.4 M,2022,710 M,172.6 M,165.3 M,165.6 M,131.8 M,131.6 M,68.133 M,68.155 M,141.4 M,141.4 M,156.9 M,156 M,152.9 M
2343,Pacific Basin Shipping Limited,Industrials,Marine,Transportation,2.151 B,2022,3.282 B,779.4 M,861.4 M,861.4 M,915.2 M,915.2 M,571 M,571 M,394.7 M,394.7 M,340.7 M,340.7 M,409.4 M
289,Wing On Company International Limited,Consumer Discretionary,Multiline Retail,Retailing,511.4 M,2022,136.9 M,32.136 M,32.693 M,32.742 M,36.397 M,36.352 M,44.591 M,44.605 M,32.272 M,32.263 M,42.868 M,42.62 M,45.283 M
258,Tomson Group Limited,Real Estate,Real Estate Management & Development,Real Estate,421.8 M,2022,86.984 M,19.263 M,24.419 M,24.456 M,25.649 M,25.617 M,40.064 M,40.076 M,19.919 M,19.913 M,28.389 M,28.225 M,30.296 M
693,Tan Chong International Limited,Consumer Discretionary,Distributors,Retailing,436 M,2022,1.553 B,413.7 M,366.1 M,366.7 M,396.4 M,395.9 M,421.5 M,421.6 M,373.1 M,373 M,489.1 M,486.2 M,442.4 M
142,First Pacific Company Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",1.295 B,2022,9.949 B,2.536 B,2.439 B,2.439 B,2.113 B,2.113 B,1.846 B,1.846 B,1.719 B,1.719 B,1.512 B,1.982 B,2.046 B
120,Cosmopolitan International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,1.649 B,2022,332.5 M,65.815 M,101.2 M,101.3 M,3.928 M,3.923 M,2.354 M,2.355 M,2.135 M,2.135 M,4.536 M,4.51 M,3.13 M
603,China Oil And Gas Group Limited,Utilities,Gas Utilities,Utilities,165.3 M,2022,1.984 B,522.1 M,473.9 M,474.7 M,447.7 M,447.1 M,372.7 M,372.8 M,300.2 M,300.1 M,328.1 M,326.2 M,329.5 M
2038,FIH Mobile Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,877.9 M,2022,9.394 B,2.635 B,2.063 B,2.063 B,2.322 B,2.322 B,1.969 B,1.969 B,2.633 B,2.633 B,1.834 B,1.834 B,-
256,Citychamp Watch & Jewellery Group Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,637.6 M,2022,238.9 M,56.524 M,63.408 M,63.504 M,67.531 M,67.448 M,65.689 M,65.709 M,54.562 M,54.546 M,86.11 M,85.612 M,94.712 M
517,"COSCO SHIPPING International (Hong Kong) Co., Ltd.",Industrials,Transportation Infrastructure,Transportation,473.8 M,2022,523.3 M,115.1 M,147.6 M,147.9 M,143.7 M,143.5 M,126.4 M,126.5 M,95.655 M,95.629 M,105.2 M,104.6 M,104.1 M
2698,Weiqiao Textile Company Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,176.5 M,2022,2.403 B,581.9 M,618.9 M,654 M,689.6 M,679.5 M,580.6 M,572.2 M,560.2 M,538.5 M,384.3 M,383.3 M,530.2 M
1126,Dream International Limited,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel,365.6 M,2022,801.1 M,217.3 M,181.1 M,181.4 M,182.2 M,182.4 M,126.2 M,126 M,138.7 M,138.7 M,105.1 M,105.1 M,152.9 M
10,Hang Lung Group Limited,Real Estate,Real Estate Management & Development,Real Estate,2.39 B,2022,1.421 B,342.2 M,364.5 M,365.2 M,363 M,363.6 M,337.7 M,337.3 M,318.9 M,319 M,276.8 M,276.7 M,320.1 M
1719,China Infrastructure & Logistics Group Ltd.,Industrials,Transportation Infrastructure,Transportation,219.8 M,2022,40.937 M,12.078 M,8.279 M,8.293 M,8.027 M,8.039 M,7.889 M,7.88 M,22.098 M,22.105 M,4.853 M,4.852 M,15.318 M
580,Sun.King Technology Group Limited,Industrials,Electrical Equipment,Capital Goods,378 M,2022,133.1 M,34.98 M,31.345 M,33.123 M,34.635 M,34.131 M,38.003 M,37.45 M,40.449 M,38.886 M,48.668 M,48.551 M,55.17 M
1091,South Manganese Investment Limited,Materials,Metals & Mining,Materials,231.5 M,2022,2.244 B,575 M,551.7 M,552.5 M,272.3 M,272 M,144.8 M,144.8 M,137 M,136.9 M,170.8 M,169.8 M,201 M
1383,LET Group Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,160.8 M,2022,49.225 M,12.156 M,10.121 M,10.323 M,9.313 M,9.302 M,17.496 M,-4.183 M,5.281 M,5.268 M,18.375 M,17.904 M,20.343 M
505,Xingye Alloy Materials Group Limited,Industrials,Electrical Equipment,Capital Goods,113.8 M,2022,1.045 B,254.1 M,297.6 M,293.2 M,245.3 M,241.7 M,197.9 M,190.3 M,138.1 M,137.7 M,165.5 M,161.2 M,141.9 M
439,KuangChi Science Limited,Industrials,Aerospace & Defense,Capital Goods,130.2 M,2022,16.682 M,1.974 M,6.359 M,6.369 M,901.623 K,900.512 K,2.457 M,2.458 M,3.96 M,3.959 M,1.594 M,1.678 M,2.256 M
2299,Billion Industrial Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,1.015 B,2022,2.257 B,524.4 M,604.7 M,638.9 M,612 M,603.1 M,500.5 M,493.2 M,368.9 M,354.7 M,255.8 M,255.2 M,341.7 M
776,Imperium Technology Group Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,177.9 M,2022,19.825 M,4.24 M,5.716 M,5.725 M,4.636 M,4.63 M,6.868 M,6.87 M,5.153 M,5.152 M,7.198 M,7.156 M,7.77 M
