Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EBITDA,EBITDA FQ-1,EBITDA FQ-2,EBITDA FQ-3,EBITDA FQ-4,EBITDA FQ-5,EBITDA FQ-6,EBITDA FQ-7,EBITDA FQ-8,EBITDA FQ-9,EBITDA FQ-10,EBITDA FQ-11,EBITDA FQ-12
19,Swire Pacific Limited,Real Estate,Real Estate Management & Development,Real Estate,10.126 B,2022,1.796 B,439.6 M,453.6 M,454.4 M,-,-,532.8 M,532.2 M,462 M,407 M,455.1 M,454.9 M,411.7 M
993,Huarong International Financial Holdings Limited,Financials,Capital Markets,Diversified Financials,105.4 M,2022,-,-,-,-,-,-,-,-,-,-,-,-,-
579,"Beijing Jingneng Clean Energy Co., Limited",Utilities,Independent Power & Renewable Electricity Producers,Utilities,2.017 B,2022,1.222 B,412.1 M,327 M,226 M,240.5 M,367.9 M,266.9 M,185.7 M,180.2 M,305.3 M,188 M,183.2 M,178.7 M
420,Fountain Set (Holdings) Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,126.4 M,2022,21.755 M,-,14.836 M,14.862 M,15.507 M,15.53 M,18.492 M,18.469 M,16.996 M,17.001 M,5.98 M,5.979 M,14.595 M
230,Minmetals Land Limited,Real Estate,Real Estate Management & Development,Real Estate,206.8 M,2022,-53.499 M,-42.259 M,15.99 M,16.017 M,37.74 M,37.797 M,46.514 M,46.457 M,2.269 M,2.27 M,14.431 M,14.427 M,9.672 M
175,Geely Automobile Holdings Limited,Consumer Discretionary,Automobiles,Automobiles & Components,12.837 B,2022,536.9 M,189.7 M,74.915 M,79.164 M,141.3 M,139.2 M,194.1 M,191.2 M,275.8 M,265.2 M,177.9 M,177.5 M,318 M
1198,Royale Home Holdings Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,662.1 M,2022,21.441 M,-1.092 M,11.887 M,11.905 M,-2.001 M,-1.999 M,8.382 M,8.385 M,-5.973 M,-5.971 M,8.047 M,8.001 M,2.69 M
1137,Hong Kong Technology Venture Company Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,530.5 M,2022,11.503 M,9.994 M,-4.11 M,-2.753 M,7.543 M,7.534 M,2.353 M,2.354 M,12.039 M,12.036 M,-7.212 M,-7.17 M,-9.021 M
450,Hung Hing Printing Group Limited,Materials,Containers & Packaging,Materials,126.1 M,2022,24.992 M,9.549 M,2.772 M,2.777 M,5.468 M,5.476 M,5.642 M,5.635 M,8.811 M,8.813 M,151.732 K,151.69 K,9.285 M
165,China Everbright Limited,Financials,Capital Markets,Diversified Financials,1.239 B,2022,-794.4 M,-222.2 M,-169.6 M,-169.9 M,132.7 M,133.4 M,119.5 M,119.4 M,187.3 M,187.9 M,58.86 M,58.844 M,52.955 M
228,China Energy Development Holdings Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,124.7 M,2022,27.159 M,6.134 M,7.565 M,7.578 M,5.241 M,5.249 M,8.982 M,8.971 M,2.996 M,2.997 M,368.104 K,368.003 K,1.171 M
169,Wanda Hotel Development Company Limited,Real Estate,Real Estate Management & Development,Real Estate,161.6 M,2022,30.761 M,6.868 M,8.574 M,8.587 M,10.611 M,10.598 M,9.012 M,13.291 M,4.038 M,4.037 M,-,-,12.124 M
326,China Star Entertainment Limited,Communication Services,Entertainment,Media,203.8 M,2022,-32.339 M,-2.657 M,-,-,-2.104 M,-2.101 M,-7 M,-4.204 M,-6.527 M,-6.525 M,-12.897 M,-12.823 M,-1.743 M
215,Hutchison Telecommunications Hong Kong Holdings Limited,Communication Services,Wireless Telecommunication Services,Telecommunication Services,767.4 M,2022,174.5 M,44.269 M,42.501 M,42.575 M,8.08 M,8.093 M,46.237 M,46.18 M,12.254 M,12.258 M,48.061 M,48.048 M,15.528 M
3993,CMOC Group Limited,Materials,Metals & Mining,Materials,15.392 B,2022,2.461 B,261.5 M,646.9 M,1.124 B,701.8 M,472.2 M,788.1 M,701.3 M,567.8 M,690.4 M,322.1 M,-129.9 M,-28.857 M
2233,West China Cement Limited,Materials,Construction Materials,Materials,651.3 M,2022,415 M,118.2 M,100.9 M,99.429 M,110.1 M,108.5 M,107.6 M,103.5 M,82.779 M,82.58 M,133.8 M,130.4 M,68.638 M
1696,Sisram Medical Ltd,Healthcare,Healthcare Equipment & Supplies,Healthcare Equipment & Services,710.8 M,2022,53.994 M,13.055 M,13.943 M,13.943 M,12.829 M,12.829 M,12.963 M,12.963 M,7.205 M,7.205 M,4.694 M,4.694 M,6.145 M
951,Chaowei Power Holdings Limited,Consumer Discretionary,Auto Components,Automobiles & Components,263 M,2022,250.2 M,30.471 M,101.5 M,100 M,31.608 M,31.148 M,90.419 M,86.926 M,31.534 M,31.459 M,76.664 M,74.697 M,34.305 M
976,Chiho Environmental Group Limited,Industrials,Commercial Services & Supplies,Commercial & Professional Services,139 M,2022,90.928 M,22.551 M,21.035 M,21.067 M,33.48 M,33.439 M,3.831 M,3.832 M,245.145 K,245.077 K,-3.914 M,-3.891 M,11.406 M
1128,"Wynn Macau, Limited",Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,4.912 B,2022,-263.5 M,-111.5 M,-19.06 M,-33.562 M,-7.262 M,42.405 M,13.531 M,36.246 M,-125.7 M,-205.3 M,-21.921 M,305.6 M,241.6 M
220,Uni-President China Holdings Ltd,Consumer Staples,Food Products,"Food, Beverage & Tobacco",4.534 B,2022,380.6 M,90.893 M,94.036 M,99.37 M,104.2 M,102.6 M,126.3 M,124.5 M,90.426 M,86.933 M,141.6 M,141.2 M,83.087 M
1230,Yashili International Holdings Ltd,Consumer Staples,Food Products,"Food, Beverage & Tobacco",713.4 M,2022,-7.683 M,-10.018 M,5.945 M,5.858 M,4.417 M,4.352 M,2.275 M,2.187 M,3.602 M,3.594 M,4.981 M,4.854 M,3.73 M
906,CPMC Holdings Limited,Materials,Containers & Packaging,Materials,631.2 M,2022,129.7 M,31.383 M,33.405 M,35.3 M,33.579 M,33.091 M,36.807 M,36.271 M,33.807 M,32.501 M,30.937 M,30.863 M,26.083 M
1866,China XLX Fertiliser Ltd.,Materials,Chemicals,Materials,735.2 M,2022,666.9 M,201.6 M,150.4 M,148.2 M,138.2 M,136.2 M,67.666 M,65.052 M,57.287 M,57.149 M,44.147 M,43.014 M,60.52 M
3738,Vobile Group Limited,Information Technology,Software,Software & Services,1.11 B,2022,11.229 M,6.716 M,-1.097 M,-1.099 M,3.234 M,3.23 M,-1.973 M,-1.974 M,1.142 M,1.142 M,-1.119 M,-1.119 M,-98.5 K
2009,BBMG Corporation,Materials,Construction Materials,Materials,3.017 B,2022,1.39 B,506.1 M,275.5 M,327.2 M,485.4 M,773.9 M,313.4 M,475.9 M,598 M,764.5 M,220.1 M,396.9 M,565.1 M
691,China Shanshui Cement Group Limited,Materials,Construction Materials,Materials,793.2 M,2022,536.6 M,111.3 M,158 M,167 M,316.3 M,239.2 M,333.3 M,109.6 M,261.5 M,295.6 M,364.9 M,74.866 M,272.3 M
1099,Sinopharm Group Co. Ltd.,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,9.064 B,2022,3.303 B,936.3 M,668.3 M,1.125 B,881.4 M,983.6 M,558.4 M,1.004 B,859.9 M,769.9 M,420.5 M,849.1 M,657.2 M
817,China Jinmao Holdings Group Limited,Real Estate,Real Estate Management & Development,Real Estate,2.697 B,2022,1.492 B,246.6 M,540.2 M,532.4 M,244.3 M,240.7 M,322.8 M,310.4 M,135.2 M,134.8 M,388.9 M,378.9 M,273 M
982,Huafa Property Services Group Company Limited,Real Estate,Real Estate Management & Development,Real Estate,189.7 M,2022,40.39 M,10.872 M,8.686 M,8.699 M,8.656 M,8.645 M,4.64 M,4.642 M,7.057 M,7.055 M,2.742 M,2.727 M,6.574 M
